,Tokyo,Kanagawa,Saitama,Ibaraki,Tochigi,Gunma,Chiba,Osaka,Kyoto,Hyogo,Shiga,Nara,Wakayama
Tokyo,0.0,17.10150891632373,27.32409972299169,0.39138863381287625,0.26558514437302316,0.2824435763888889,0.428125,0.07687991021324354,0.026590820866553195,0.041716262975778545,0.015133821487185962,0.014086265523901851,0.0062545653761869975
Kanagawa,17.10150891632373,0.0,3.2355555555555555,0.16841826954854913,0.10890652557319223,0.12630579297245964,0.20597555454956995,0.05374640929957851,0.01856428846048223,0.029060821599651617,0.010580604439867452,0.009940388876751662,0.004408890994342192
Saitama,27.32409972299169,3.2355555555555555,0.0,0.24888888888888888,0.2085048010973937,0.21375,0.1384083044982699,0.040200749957172495,0.014051416776130607,0.021821067248561792,0.007953541219542988,0.0073233992778314605,0.0032430971577856855
Ibaraki,0.39138863381287625,0.16841826954854913,0.24888888888888888,0.0,0.16964285714285715,0.034048,0.018496498876998283,0.010562006781288444,0.0036110931989424655,0.005897648982655551,0.002024793388429752,0.0018769541630556047,0.000883726802171443
Tochigi,0.26558514437302316,0.10890652557319223,0.2085048010973937,0.16964285714285715,0.0,0.0625,0.00799595993603232,0.008367991431817386,0.002924443970850279,0.004651142089052681,0.0016459988614143215,0.0014936771411244133,0.000681272186166589
Gunma,0.2824435763888889,0.12630579297245964,0.21375,0.034048,0.0625,0.0,0.005621301775147929,0.012017623931746796,0.004375708616780045,0.006564029120420098,0.002487631980098944,0.0019325636983166354,0.0008558173055267781
Chiba,0.428125,0.20597555454956995,0.1384083044982699,0.018496498876998283,0.00799595993603232,0.005621301775147929,0.0,0.002357681755829904,0.0008044355337739165,0.0012939897704226876,0.0004532240415930178,0.0004288795216155279,0.00019695033350256472
Osaka,0.07687991021324354,0.05374640929957851,0.040200749957172495,0.010562006781288444,0.008367991431817386,0.012017623931746796,0.002357681755829904,0.0,1.237425635478637,3.025,0.5347222222222222,1.4649227110582639,0.21284600913732868
Kyoto,0.026590820866553195,0.01856428846048223,0.014051416776130607,0.0036110931989424655,0.002924443970850279,0.004375708616780045,0.0008044355337739165,1.237425635478637,0.0,0.34912109375,3.0082644628099175,0.2520775623268698,0.02205674427372985
Hyogo,0.041716262975778545,0.029060821599651617,0.021821067248561792,0.005897648982655551,0.004651142089052681,0.006564029120420098,0.0012939897704226876,3.025,0.34912109375,0.0,0.14853395061728394,0.21388888888888888,0.1830621301775148
Shiga,0.015133821487185962,0.010580604439867452,0.007953541219542988,0.002024793388429752,0.0016459988614143215,0.002487631980098944,0.0004532240415930178,0.5347222222222222,3.0082644628099175,0.14853395061728394,0.0,0.1225,0.010802469135802469
Nara,0.014086265523901851,0.009940388876751662,0.0073233992778314605,0.0018769541630556047,0.0014936771411244133,0.0019325636983166354,0.0004288795216155279,1.4649227110582639,0.2520775623268698,0.21388888888888888,0.1225,0.0,0.0196875
Wakayama,0.0062545653761869975,0.004408890994342192,0.0032430971577856855,0.000883726802171443,0.000681272186166589,0.0008558173055267781,0.00019695033350256472,0.21284600913732868,0.02205674427372985,0.1830621301775148,0.010802469135802469,0.0196875,0.0
